Nhân viên,Kho nhận,PO,Số YCMH,Ngày yêu cầu,Thời hạn,Mặt hàng,Tên hàng,Đvt (1),Đvt (2),Yêu cầu 1,Yêu cầu 2,Duyệt mua 1,Duyệt mua 2,Đặt mua 1,Đặt mua 2,Yêu cầu nhập kho 1,Yêu cầu nhập kho 2,Nhập kho 1,Nhập kho 2,Còn thiếu 1,Còn thiếu 2,Mục đích sử dụng,Ghi chú
Hoàng Văn Khiêm ,KNL001,PO10/23-002,PR23/10-001,10/2/2023,10/5/2023,HAT-CAM-EMH33113,Hạt màu cam EMH33113.,KG,KG,300,300,0,0,300,300,296.5,296.5,0,0,300,300,,
Hoàng Văn Khiêm ,KVT001,PO10/23-003,PR23/10-002,10/2/2023,10/2/2023,52001051000000000,HARINA EXTRA FINAL DEL VALLE,CM2,CM2,10000,10000,0,0,10000,10000,4180,4180,0,0,10000,10000,,
Hoàng Văn Khiêm ,KVT001,PO10/23-003,PR23/10-002,10/2/2023,10/2/2023,52001051010000000,HARINA PANIFICATION DEL VALLE,CM2,CM2,10000,10000,0,0,10000,10000,4158,4158,0,0,10000,10000,,
Nguyễn Thị Hưởng,KBT001,PO10/23-012,PR23/10-003,10/4/2023,10/3/2023,HDPE051084G019TT,"Túi HDPE, màu trắng đục, 51(+1/-0.5)x84LL(+1/-0.5), dày 20mi, cắt dài 85.5cm + hàn cách đáy 1.5cm(+/-0.5), TL: 19g/cái(+/-1).",CAI,CAI,500,9.5,0,0,500,9.5,0,0,0,0,500,9.5,,
Nguyễn Thị Hưởng,KNL001,PO10/23-007,PR23/10-004,10/4/2023,11/1/2023,HAT-EVA,"Hạt nhựa EVA: H2181, 7350M...",KG,KG,3000,3000,0,0,3000,3000,3000,3000,0,0,3000,3000,,
Nguyễn Thị Hưởng,KNL001,PO10/23-008,PR23/10-004,10/4/2023,10/9/2023,HAT-TALC-THOI,Hạt Taical thổi PE1001-2C +  IF-PE114C7 (Đại Á),KG,KG,3000,3000,0,0,3000,3000,3000,3000,0,0,3000,3000,,
Nguyễn Thị Hưởng,KNL001,PO10/23-007,PR23/10-004,10/4/2023,11/1/2023,HAT-TPP,"Hạt nhựa TPP: FL7632L, Hạt L6000N ...",KG,KG,16000,16000,0,0,13000,13000,13000,13000,0,0,16000,16000,,
Nguyễn Thị Hưởng,KNL001,PO10/23-006,PR23/10-004,10/4/2023,10/7/2023,SOI-MULTI-800D,"Sợi PP filament 800D, trắng đục. [Loại tốt để dệt đai, không tưa], lực kéo đứt >=4.0KgF, độ giãn dài 25 +/- 5, kháng UV",KG,KG,835,835,0,0,835,835,831.4,831.4,0,0,835,835,,
Nguyễn Thị Hưởng,KHC001,,PR23/10-005,10/4/2023,10/6/2023,MDM-FL021GT,Cam 021C FL gián tiếp,KG,KG,202,202,0,0,202,202,202,202,0,0,202,202,,
Nguyễn Thị Hưởng,KHC001,PO10/23-011,PR23/10-005,10/4/2023,10/6/2023,MDM-FL348GT,Xanh lá 348C gián tiếp,KG,KG,32,32,0,0,32,32,32,32,0,0,32,32,,
