Mã phiếu,Người tạo,Ngày tạo,Mã kế hoạch,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN
PR23/12-056,Hoàng Văn Khiêm ,12/21/2023,EP2312-0067,0902210040000000,Giá kẹp Bóng sấy IR hồng ngoại.,CAI,40,CAI,40,
PR23/12-057,Hoàng Văn Khiêm ,12/21/2023,EP2312-0068,0904801060000000,Bánh răng xéo phi 16x8.5 - lỗ 5mm -  Z=27 ; M=0.5 ( GC theo mẫu ),CAI,30,CAI,30,
PR23/12-057,Hoàng Văn Khiêm ,12/21/2023,EP2312-0068,0904801070000000,Bánh răng phi 16x9 - lỗ 9mm -  Z=19 ( GC theo mẫu ),CAI,30,CAI,30,
PR23/12-071,Hoàng Văn Khiêm ,12/30/2023,EP2312-0070,090570212000000,Ống khí cao áp máy nén khí Fusheng SA37A - 50HP.,ONG,1,ONG,1,
PR23/12-071,Hoàng Văn Khiêm ,12/30/2023,EP2312-0070,0901900710000000,Bánh xe mâm đúc vỏ hơi phi 350 - lỗ trục phi 20mm.,CAI,2,CAI,2,
PR23/12-071,Hoàng Văn Khiêm ,12/30/2023,EP2312-0070,0901900720000000,Bánh xe đẩy lốp hơi phi 260 x 75 ( khung quay),CAI,2,CAI,2,
PR23/12-071,Hoàng Văn Khiêm ,12/30/2023,EP2312-0070,0920700230000000,Láp sắt trắng phi 20 x1400mm,CAY,1,CAY,1,
PR23/12-071,Hoàng Văn Khiêm ,12/30/2023,EP2312-0070,0907101110000000,Bát sắt 100x120x15mm ( cắt theo bản vẽ),CAI,4,CAI,4,
PR23/12-064,Hoàng Văn Khiêm ,12/26/2023,EP2312-0073,0902203350000000,Biến trở Tocos  2KRV24YN B202,CAI,10,CAI,10,
PR23/12-064,Hoàng Văn Khiêm ,12/26/2023,EP2312-0073,0902900410000000,Vòng sin phi ngoài 35x2.5mm,CAI,10,CAI,10,
PR23/12-060,Hoàng Văn Khiêm ,12/22/2023,EP2312-0074,0908200073000000,Xe Nâng điện Ngồi KOMATSU FB09-3-seri:52121 (900kg),CHIEC,1,CHIEC,1,
PR23/12-060,Hoàng Văn Khiêm ,12/22/2023,EP2312-0074,0908200074000000,Xe Nâng điện Ngồi KOMATSU FB09-3-seri:50325 (500kg),CHIEC,1,CHIEC,1,
PR23/12-060,Hoàng Văn Khiêm ,12/22/2023,EP2312-0074,0908700390000000,Bình Ắc quy LIFTOP (HITACHI) 48V-402Ah,CAI,1,CAI,1,
PR23/12-073,Hoàng Văn Khiêm ,12/30/2023,EP2312-0078,0922900210000000,Lọc gió  hopper hút keo phi 180x37mm lỗ 14mm ( theo mẫu ),CAI,4,CAI,4,
PR23/12-073,Hoàng Văn Khiêm ,12/30/2023,EP2312-0078,0905900680000000,Nhãn dán MICA 20x95mm ( in cắt theo bản vẽ),CAI,50,CAI,50,
PR23/12-073,Hoàng Văn Khiêm ,12/30/2023,EP2312-0078,0906100320000000,Nối nhựa pVC BM ren trong phi 42.,CAI,8,CAI,8,
PR23/12-070,Hoàng Văn Khiêm ,12/29/2023,EP2312-0089,0906201030000000,Ống luồn dây điện tròn cứng chống cháy SINO D20 ( SP9020MS),Cây,60,Cây,60,
PR23/12-070,Hoàng Văn Khiêm ,12/29/2023,EP2312-0089,0902210050000000,Tủ điện nổi Suntree SH4PN 4 Module,CAI,2,CAI,2,
PR23/12-070,Hoàng Văn Khiêm ,12/29/2023,EP2312-0089,0902210060000000,CB - RCBO A9D31620 1P+N - 20A,CAI,4,CAI,4,
PR23/12-070,Hoàng Văn Khiêm ,12/29/2023,EP2312-0089,0912300083000000,Súng bắn đinh hạt nổ.,CAI,1,CAI,1,
PR23/12-070,Hoàng Văn Khiêm ,12/29/2023,EP2312-0089,0906202420000000,Cùm omega phi 20mm (kẹp ống không đế 2 lỗ),CAI,200,CAI,200,
PR23/12-070,Hoàng Văn Khiêm ,12/29/2023,EP2312-0089,913900210000000,Định nổ dùng cho súng bắn đinh nổ.,CAI,200,CAI,200,
PR23/12-070,Hoàng Văn Khiêm ,12/29/2023,EP2312-0089,0906100600000000,Nối ống luồn dây điện PHI 20,CAI,70,CAI,70,
Tổng cộng:,,,,,,,3867962.8,,2521984.43,
