Nhân viên,Kho nhận,PO,Số YCMH,Ngày yêu cầu,Thời hạn,Mặt hàng,Tên hàng,Đvt (1),Đvt (2),Yêu cầu 1,Yêu cầu 2,Duyệt mua 1,Duyệt mua 2,Đặt mua 1,Đặt mua 2,Yêu cầu nhập kho 1,Yêu cầu nhập kho 2,Nhập kho 1,Nhập kho 2,Còn thiếu 1,Còn thiếu 2,Mục đích sử dụng,Ghi chú
Hoàng Văn Khiêm ,KHC001,,PR24/01-001,1/2/2024,1/2/2024,MDM-FL16,Đỏ Sen 16 FL,KG,KG,25,25,0,0,0,0,0,0,0,0,25,25,,
Hoàng Văn Khiêm ,KHC001,,PR24/01-001,1/2/2024,1/2/2024,MDM-FLDO192,Đỏ 192C FL,KG,KG,75,75,0,0,0,0,0,0,0,0,75,75,,
Hoàng Văn Khiêm ,KVT001,,PR24/01-002,1/2/2024,12/30/2023,52001092000000,LOTTE-JUMBO,CM2,CM2,10000,10000,0,0,0,0,0,0,0,0,10000,10000,,
Hoàng Văn Khiêm ,KVT001,,PR24/01-002,1/2/2024,12/30/2023,52001093000000,LOTTE-CHEMICAL (55x84.5),CM2,CM2,10000,10000,0,0,0,0,0,0,0,0,10000,10000,,
Hoàng Văn Khiêm ,,PO01/24-001,PR24/01-003,1/2/2024,1/5/2024,0923700100000000,keo đa năng ARALDITE AW 106,Kg,Kg,2,2,0,0,2,2,2,2,2,2,0,0,,
Hoàng Văn Khiêm ,,PO01/24-001,PR24/01-003,1/2/2024,1/5/2024,0923700110000000,keo đa năng HARDENR HV 953U BD,Kg,Kg,2,2,0,0,2,2,2,2,2,2,0,0,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,09061001030000000,co ren ngoài 21,CAI,CAI,5,5,0,0,5,5,0,0,0,0,5,5,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,0908100011000000,xi măng sao mai,BAO,BAO,15,15,0,0,15,15,15,15,15,15,0,0,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,0909500210000000,Lưới chống nứt,CUON,CUON,1,1,0,0,1,1,1,1,1,1,0,0,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,09143000110000000,Co 114/90,CAI,CAI,4,4,0,0,4,4,0,0,0,0,4,4,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,0922700081000000,Lưỡi cắt 100,LUOI,LUOI,1,1,0,0,1,1,1,1,1,1,0,0,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,0922700084000000,Lưỡi cắt bê tông 150mm,CAI,CAI,1,1,0,0,1,1,1,1,1,1,0,0,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,0923700162000000,ke lát gạch,BICH,BICH,1,1,0,0,1,1,0,0,0,0,1,1,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,0923700180000000,Keo dán ống 0.5kg,HOP,HOP,1,1,0,0,1,1,0,0,0,0,1,1,,
Hoàng Văn Khiêm ,,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,0904700310000000,Co nhựa PVC BM phi 27,CAI,CAI,16,16,0,0,16,16,0,0,0,0,16,16,,
Hoàng Văn Khiêm ,KXD001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,0909000030000000,cát xây dựng,M3,M3,4,4,0,0,4,4,3,3,1,1,3,3,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,0904700240000000,CO NHỰA 90,CAI,CAI,4,4,0,0,4,4,0,0,0,0,4,4,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,090580106000000,Mũi khoét hợp kim  phi 32,CAI,CAI,1,1,0,0,1,1,0,0,0,0,1,1,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,0905800580000000,Mũi khoét hợp kim phi 42,CAI,CAI,1,1,0,0,1,1,0,0,0,0,1,1,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,090420024000000,Phễu Thoát sàn 15x15cm/90,CAI,CAI,1,1,0,0,1,1,0,0,0,0,1,1,,
Hoàng Văn Khiêm ,KVT001,PO01/24-002,PR24/01-004,1/2/2024,12/30/2023,090470085000000,Co 21/27,CAI,CAI,8,8,0,0,10,10,0,0,0,0,8,8,,
