Số chứng từ,Ngày tạo,Người tạo,Loại kế hoạch,Ghi chú 1,Vật tư,Column7,Đvt 1,Số lượng 1,HSQĐ,Đvt 2,Số lượng 2,Ghi chú 2,Mục đích sử dụng,Ngày sử dụng
EP2402-0016,2/20/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200108837000000,Gạo lài sữa-tư trúc,CM2,10000,1,CM2,10000,,,2/21/2024
EP2403-0092,3/27/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,1,CM2,10000,,,3/28/2024
EP2403-0078,3/22/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế cho tủ điện máy dệt RX6.1 và sửa chữa bo nguồn máy dệt.,5200110840000000,Kìm bấm cos mạng RJ11/12 và RJ45,CAI,40,1,CAI,40,,Sửa chữa,3/25/2024
EP2403-0075,3/21/2024,Đặng Thị Mỹ Hạnh,Theo bộ phận,ĐỀ xuất mua sơ dừa bón cây kiểng,5300101542000000,Sơ dừa,BAO,150,1,BAO,150,,Bón cây kiểng,3/22/2024
EP2403-0014,3/5/2024,Nguyễn Thị Hưởng,Theo bộ phận,Mua nhớt 10 (sử dụng cho Tháng 03 ) và bao tay len ho sản xuất,0700100030000000,nhớt 10,LIT,4000,1,LIT,4000,,,3/10/2024
EP2402-0002,2/1/2024,Nguyễn Thị Hưởng,Theo bộ phận,Mua nhớt sử dụng cho tháng 2/2024,0700100030000000,nhớt 10,LIT,2000,1,LIT,2000,,,2/3/2024
EP2401-0002,1/2/2024,Nguyễn Thị Hưởng,Theo bộ phận,Mua nhớt cho SX,0700100030000000,nhớt 10,LIT,2000,1,LIT,2000,,,1/10/2024
EP2401-0060,1/18/2024,Nguyễn Thị Hưởng,Theo bộ phận,Mua keo dán nền và nhớt 10,0700100030000000,nhớt 10,LIT,2000,1,LIT,2000,,,1/25/2024
EP2401-0025,1/9/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật Tư sửa chữa Nhà Vệ sinh X1 ( A Hợi ),0700100070000000,XĂNG A92,LIT,10,1,LIT,10,,,1/10/2024
EP2401-0127,1/31/2024,Hoàng Văn Khiêm,Theo bộ phận,"MUA VẬT TƯ LÀM NHÀ RÁC THẢI NGUY HẠI VÀ KHUÔN VIÊN , MÁI CHE X7",0700100070000000,XĂNG A92,LIT,8,1,LIT,8,,,1/31/2024
EP2403-0067,3/21/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật tư Làm nhà chứa Rác Thải Nguy Hại ( A Hải),0700100070000000,XĂNG A92,LIT,5,1,LIT,5,,,3/25/2024
EP2403-0046,3/14/2024,Nguyễn Dũng Trung,Theo bộ phận,"Mua theo đề xuất (Có file đính kèm)
Xe 5 tấn 51C-67266",0700100171000000,Nhớt castrol 20W50.,LIT,36,1,LIT,36,CASTROL,,3/18/2024
EP2403-0013,3/4/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư bảo trì thay thế cho máy nén khí SA37A.,0700100180000000,Dầu FUSHENG thùng 18 lít,THUNG,2,1,THUNG,2,,Bảo trì thay thế,3/6/2024
EP2403-0085,3/25/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư bảo trì thay thế cho máy nén khí SA37A và máy nén khí Kingpower.,0700100180000000,Dầu FUSHENG thùng 18 lít,THUNG,2,1,THUNG,2,,Bảo trì thay thế định kỳ.,3/29/2024
EP2403-0089,3/26/2024,Nguyễn Thị Hưởng,Theo bộ phận,Mua axit loãng châm bình xe nâng,0700100240000000,AXIT LOÃNG CHÂM BÌNH,LIT,210,1,LIT,210,,,3/30/2024
