Số chứng từ,Ngày tạo,Người tạo,Loại kế hoạch,Ghi chú 1,Vật tư,Column7,Đvt 1,Số lượng 1,HSQĐ,Đvt 2,Số lượng 2,Ghi chú 2,Mục đích sử dụng,Ngày sử dụng
EP2403-0093,3/27/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2403-0061 - KCP + SLCL SO Tổng
SO2403-0061 - KCP + SLCL SO Tổng
MF4X - Tồn kho
SO2403-0058 - HARVEST PADI III",HDPE051084G019TT,"Túi HDPE, màu trắng đục, 51(+1/-0.5)x84LL(+1/-0.5), dày 20mi, cắt dài 85.5cm + hàn cách đáy 1.5cm(+/-0.5), TL: 19g/cái(+/-1).",CAI,305000,0.019,KG,5795,SO2403-0058 - HARVEST PADI III,,4/5/2024
EP2403-0093,3/27/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2403-0061 - KCP + SLCL SO Tổng
SO2403-0061 - KCP + SLCL SO Tổng
MF4X - Tồn kho
SO2403-0058 - HARVEST PADI III",LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,200000,0.05,KG,10000,SO2403-0061 - KCP + SLCL SO Tổng,,4/1/2024
EP2403-0018,3/6/2024,Nguyễn Dũng Trung,Theo bộ phận,"SO2402-0007 - SANPOLY
SO2402-0016 - HALSTON
SO2402-0017 - HALSTON
SO2402-0021 - SUJPLAS
SO2403-0004 - SGX
SO2403-0008 - SAN",LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,0.05,KG,5000,SO2403-0003 - KCP,,3/12/2024
EP2403-0045,3/14/2024,Nguyễn Dũng Trung,Theo bộ phận,Bao lồng KCP,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,109000,0.05,KG,5450,KCP,,3/20/2024
EP2403-0008,3/4/2024,Nguyễn Dũng Trung,Theo bộ phận,Bao lồng KCP,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,0.05,KG,5000,KCP,,3/8/2024
EP2401-0112,1/29/2024,Nguyễn Dũng Trung,Theo bộ phận,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.
Băng keo chịu Nhiệt",LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,0.05,KG,5000,SO2401-0038 - KCP,,1/30/2024
EP2402-0001,2/1/2024,Nguyễn Dũng Trung,Theo bộ phận,Bao lồng  KCP,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,0.05,KG,5000,SO2401-0038 - KCP,,2/5/2024
EP2402-0012,2/19/2024,Nguyễn Dũng Trung,Theo bộ phận,SO2401-0035 - THIÊN ÂN,MANH-195340G750LDPE.THA,"Manh LDPE trong, K195.0x340PB(+1.0/-0), TL: 750g/cái +/- 3%(không có đường hàn đáy, dạng ống), cắt thẳng 340cm -2/+5cm",CAI,1200,0.75,KG,900,SO2401-0035 - THIÊN ÂN,,2/23/2024
EP2401-0104,1/26/2024,Nguyễn Dũng Trung,Theo bộ phận,SO2401-0035 - THIÊN ÂN,MANH-195340G750LDPE.THA,"Manh LDPE trong, K195.0x340PB(+1.0/-0), TL: 750g/cái +/- 3%(không có đường hàn đáy, dạng ống), cắt thẳng 340cm -2/+5cm",CAI,1200,0.75,KG,900,SO2401-0035 - THIÊN ÂN,,2/19/2024
EP2402-0028,2/24/2024,Bùi Thái Hòa,Theo bộ phận,Khắc bản in cao su,5200101570000000,Dongwon 1-A,CM2,5000,1,CM2,5000,,,2/26/2024
EP2402-0054,2/29/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103540000000,9900 Lumut,CM2,10000,1,CM2,10000,,,3/1/2024
EP2402-0007,2/1/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103550000000,9900 66MFM,CM2,10000,1,CM2,10000,,,2/3/2024
EP2402-0007,2/1/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103580000000,9901 66MFM,CM2,10000,1,CM2,10000,,,2/3/2024
EP2402-0054,2/29/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103610000000,9902C 66MFM,CM2,10000,1,CM2,10000,,,3/1/2024
EP2401-0081,1/22/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103620000000,9902C Pasir,CM2,10000,1,CM2,10000,,,1/24/2024
EP2401-0098,1/25/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103630000000,9902 Lumut,CM2,10000,1,CM2,10000,,,1/26/2024
EP2402-0054,2/29/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103640000000,9902 66MFM,CM2,10000,1,CM2,10000,,,3/1/2024
EP2403-0038,3/13/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103640000000,9902 66MFM,CM2,10000,1,CM2,10000,,,3/14/2024
EP2401-0081,1/22/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103650000000,9902 Pasir,CM2,10000,1,CM2,10000,,,1/24/2024
EP2401-0081,1/22/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103730000000,Aqua 28 (40kg),CM2,10000,1,CM2,10000,,,1/24/2024
EP2401-0098,1/25/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103730000000,Aqua 28 (40kg),CM2,10000,1,CM2,10000,,,1/26/2024
EP2403-0037,3/13/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103740000000,AQ3-40kg,CM2,10000,1,CM2,10000,,,3/14/2024
EP2401-0081,1/22/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103780000000,Aqua 34,CM2,10000,1,CM2,10000,,,1/24/2024
EP2401-0034,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103850000000,Balance,CM2,10000,1,CM2,10000,,,1/13/2024
EP2403-0048,3/16/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103880000000,Black Label,CM2,10000,1,CM2,10000,,,3/20/2024
EP2401-0123,1/31/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in,5200103890000000,BAMBOO,CM2,10000,1,CM2,10000,,,1/2/2024
EP2401-0034,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103910000000,CF 40kg (Mekong),CM2,10000,1,CM2,10000,,,1/13/2024
EP2403-0037,3/13/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103910000000,CF 40kg (Mekong),CM2,10000,1,CM2,10000,,,3/14/2024
EP2402-0028,2/24/2024,Bùi Thái Hòa,Theo bộ phận,Khắc bản in cao su,5200103910000000,CF 40kg (Mekong),CM2,10000,1,CM2,10000,,,2/26/2024
EP2401-0098,1/25/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200103970000000,bản in SPB,BO,1,1,BO,1,,,1/26/2024
EP2402-0028,2/24/2024,Bùi Thái Hòa,Theo bộ phận,Khắc bản in cao su,5200104020000000,Xích Lô 40kg,CM2,10000,1,CM2,10000,,,2/26/2024
EP2403-0027,3/11/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104090000000,Blue Bicycle,CM2,10000,1,CM2,10000,,,3/12/2024
EP2401-0098,1/25/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104090000000,Blue Bicycle,CM2,10000,1,CM2,10000,,,1/26/2024
EP2402-0016,2/20/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104120000000,Blue Bicycle-LM,CM2,10000,1,CM2,10000,,,2/21/2024
EP2401-0034,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104120000000,Blue Bicycle-LM,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0026,1/9/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104150000000,Blue Horse,CM2,10000,1,CM2,10000,,,1/11/2024
EP2403-0021,3/7/2024,Bùi Thái Hòa,Theo bộ phận,KHẮC BẢN IN CAO SU,5200104160000000,Blue Horse CK,CM2,10000,1,CM2,10000,,,3/9/2024
EP2402-0050,2/28/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104170000000,Blue Horse EX,CM2,15000,1,CM2,15000,,,3/1/2024
EP2401-0026,1/9/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104200000000,Blue Horse Noodle,CM2,10000,1,CM2,10000,,,1/11/2024
EP2402-0016,2/20/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104230000000,Bột mì địa cầu 10Kg,CM2,10000,1,CM2,10000,,,2/21/2024
EP2401-0108,1/29/2024,Bùi Thái Hòa,Theo bộ phận,ĐẶT KHẮC BẢN IN CAO SU,5200104350000000,Cám mì Pollard,CM2,10000,1,CM2,10000,,,1/31/2024
EP2403-0074,3/21/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104350000000,Cám mì Pollard,CM2,10000,1,CM2,10000,,,3/23/2024
EP2403-0038,3/13/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104560000000,INTER-Địa cầu nâu,CM2,10000,1,CM2,10000,,,3/11/2024
EP2403-0092,3/27/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104690000000,Dongwon CORN,CM2,10000,1,CM2,10000,,,3/29/2024
EP2403-0092,3/27/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104840000000,bản in EXTRA FINA,CM2,10000,1,CM2,10000,,,3/29/2024
EP2403-0069,3/21/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104840000000,bản in EXTRA FINA,CM2,15000,1,CM2,15000,,,3/22/2024
EP2401-0026,1/9/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104850000000,FERRER FLOR,CM2,10000,1,CM2,10000,,,1/11/2024
EP2401-0026,1/9/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104860000000,FERRER SUPER,CM2,10000,1,CM2,10000,,,1/11/2024
EP2401-0081,1/22/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104860000000,FERRER SUPER,CM2,10000,1,CM2,10000,,,1/24/2024
EP2401-0026,1/9/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104870000000,FERRER ULTRA,CM2,10000,1,CM2,10000,,,1/11/2024
EP2401-0035,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Khắc bản in Polime,5200104950000000,Fortaleza,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0034,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104950000000,Fortaleza,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0080,1/22/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in Polyme,5200104950000000,Fortaleza,CM2,10000,1,CM2,10000,,,1/24/2024
EP2401-0098,1/25/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104950000000,Fortaleza,CM2,10000,1,CM2,10000,,,1/26/2024
EP2402-0016,2/20/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104960000000,FULL FAT SOYA,CM2,10000,1,CM2,10000,,,2/21/2024
EP2402-0007,2/1/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200104960000000,FULL FAT SOYA,CM2,10000,1,CM2,10000,,,2/3/2024
EP2403-0021,3/7/2024,Bùi Thái Hòa,Theo bộ phận,KHẮC BẢN IN CAO SU,5200105060000000,Golden horse,CM2,10000,1,CM2,10000,,,3/9/2024
EP2401-0123,1/31/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in,5200105120000000,Green Biccle,CM2,10000,1,CM2,10000,,,1/2/2024
EP2401-0108,1/29/2024,Bùi Thái Hòa,Theo bộ phận,ĐẶT KHẮC BẢN IN CAO SU,5200105150000000,Green horse,CM2,10000,1,CM2,10000,,,1/31/2024
EP2401-0098,1/25/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200105460000000,IFV-SAFOCO MÌ SỢI 25KG,CM2,10000,1,CM2,10000,,,1/26/2024
EP2401-0098,1/25/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,1,CM2,10000,,,1/26/2024
EP2402-0016,2/20/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,1,CM2,10000,,,2/21/2024
EP2401-0017,1/5/2024,Bùi Thái Hòa,Theo bộ phận,ĐẶT KHẮC BẢN IN CAO SU,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,1,CM2,10000,,,1/6/2024
EP2403-0021,3/7/2024,Bùi Thái Hòa,Theo bộ phận,KHẮC BẢN IN CAO SU,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,1,CM2,10000,,,3/9/2024
EP2403-0027,3/11/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,1,CM2,10000,,,3/12/2024
EP2403-0064,3/20/2024,Bùi Thái Hòa,Theo bộ phận,ĐẶT KHẮC BẢN IN CAO SU,5200105630000000,KCP ĐƯỜNGTINH LUYỆN CAO CẤP (XANH DƯƠNG),CM2,10000,1,CM2,10000,,,3/12/2024
EP2401-0017,1/5/2024,Bùi Thái Hòa,Theo bộ phận,ĐẶT KHẮC BẢN IN CAO SU,5200105810000000,love Birds,CM2,10000,1,CM2,10000,,,1/6/2024
EP2401-0098,1/25/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200105910000000,MI K - 40Kg,CM2,10000,1,CM2,10000,,,1/26/2024
EP2403-0048,3/16/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200105980000000,Nestle Kit Kat Wafer,CM2,10000,1,CM2,10000,,,3/20/2024
EP2403-0048,3/16/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106080000000,Omyagran 0-0.5-MI,CM2,10000,1,CM2,10000,,,3/20/2024
EP2403-0048,3/16/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106090000000,OMYAGRAN 0.2-0.5-MI,CM2,10000,1,CM2,10000,,,3/20/2024
EP2401-0034,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106150000000,Orange 888 25kg,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0034,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106190000000,Oro Cinco,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0035,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Khắc bản in Polime,5200106190000000,Oro Cinco,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0102,1/26/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106190000000,Oro Cinco,CM2,10000,1,CM2,10000,,,1/29/2024
EP2401-0081,1/22/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106190000000,Oro Cinco,CM2,10000,1,CM2,10000,,,1/24/2024
EP2401-0098,1/25/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106200000000,Oro Dos,CM2,10000,1,CM2,10000,,,1/26/2024
EP2401-0035,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Khắc bản in Polime,5200106200000000,Oro Dos,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0034,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106200000000,Oro Dos,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0034,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106210000000,Oro Tres,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0035,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Khắc bản in Polime,5200106210000000,Oro Tres,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0081,1/22/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106210000000,Oro Tres,CM2,15000,1,CM2,15000,,,1/24/2024
EP2401-0081,1/22/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106220000000,Oro Uno,CM2,12000,1,CM2,12000,,,1/24/2024
EP2401-0102,1/26/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106220000000,Oro Uno,CM2,20000,1,CM2,20000,,,1/29/2024
EP2402-0007,2/1/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106220000000,Oro Uno,CM2,10000,1,CM2,10000,,,2/3/2024
EP2401-0035,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Khắc bản in Polime,5200106220000000,Oro Uno,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0034,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106220000000,Oro Uno,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0017,1/5/2024,Bùi Thái Hòa,Theo bộ phận,ĐẶT KHẮC BẢN IN CAO SU,5200106280000000,PEACHES,CM2,10000,1,CM2,10000,,,1/6/2024
EP2401-0026,1/9/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106390000000,Pollard- Cám Tinh,CM2,10000,1,CM2,10000,,,1/11/2024
EP2402-0016,2/20/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106390000000,Pollard- Cám Tinh,CM2,10000,1,CM2,10000,,,2/21/2024
EP2402-0050,2/28/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106540000000,Rama Rama 88,CM2,10000,1,CM2,10000,,,3/1/2024
EP2403-0037,3/13/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106590000000,Red Bicycle,CM2,10000,1,CM2,10000,,,3/14/2024
EP2401-0034,1/12/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106590000000,Red Bicycle,CM2,10000,1,CM2,10000,,,1/13/2024
EP2401-0108,1/29/2024,Bùi Thái Hòa,Theo bộ phận,ĐẶT KHẮC BẢN IN CAO SU,5200106600000000,Red Globe,CM2,10000,1,CM2,10000,,,1/31/2024
EP2401-0026,1/9/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106620000000,Red Horse,CM2,10000,1,CM2,10000,,,1/11/2024
EP2403-0048,3/16/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200106620000000,Red Horse,CM2,10000,1,CM2,10000,,,3/20/2024
EP2403-0021,3/7/2024,Bùi Thái Hòa,Theo bộ phận,KHẮC BẢN IN CAO SU,5200106630000000,Red Horse AA,CM2,10000,1,CM2,10000,,,3/9/2024
